supplier_name,supplier_id,email,phone_number
Asus,1,sales@asus.com,464644879
Apple,2,apple@apple.com,597987464
Dell,3,sales@dell.com,489464687
LG,4,salesdept@lg.com,848454848
Samsung,5,samsungsales@samsung.com,484844546
Nokia,6,business@nokia.com,448575544
Motorola,7,saledept@motorola.com,855565588
HP,8,hp@hp.com,454545457
Lenovo,9,lenovosales@lenovo.com,588512255
Acer,10,acersales@acer.com,848484646
Logitech,11,logitech_sales@logitech.com,484334848
Huawei,12,hwsales@huawei.com,848797878
Sony,13,sony_dept@sony.com,487877845

